D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_19_273.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_19_273.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_19_273.jpg, 0, 0, 0, 7.878379E-05
D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_19_373.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_19_373.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_19_373.jpg, 0, 0, 0, 7.791131E-05
D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_19_476.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_19_476.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_19_476.jpg, 0, 0, 0, 7.864378E-05
D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_19_576.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_19_576.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_19_576.jpg, 0, 0, 0, 7.780996E-05
D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_19_679.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_19_679.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_19_679.jpg, 0, 0, 0, 7.874227E-05
D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_19_779.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_19_779.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_19_779.jpg, 0, 0, 0, 7.842176E-05
D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_19_880.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_19_880.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_19_880.jpg, 0, 0, 0, 8.005319E-05
D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_19_982.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_19_982.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_19_982.jpg, 0, 0, 0, 7.845295E-05
D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_20_084.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_20_084.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_20_084.jpg, 0, 0, 0, 7.982614E-05
D:\side\CarND-Behavioral-Cloning-Project\data\IMG\center_2017_02_05_23_30_20_185.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\left_2017_02_05_23_30_20_185.jpg, D:\side\CarND-Behavioral-Cloning-Project\data\IMG\right_2017_02_05_23_30_20_185.jpg, 0, 0, 0, 8.049921E-05
